50
6
(1, 0, 0,) 0, 2, 0,
(0.951, 0.309, 1,) 0.0979, 0.618, 0.0979,
(0.809, 0.588, 2,) 0.284, 0.558, 0.284,
(0.588, 0.809, 3,) 0.442, 0.442, 0.442,
(0.309, 0.951, 4,) 0.558, 0.284, 0.558,
(0, 1, 5,) 0.618, 0.0979, 0.618,
(-0.309, 0.951, 6,) 0.618, 0.0979, 0.618,
(-0.588, 0.809, 7,) 0.558, 0.284, 0.558,
(-0.809, 0.588, 8,) 0.442, 0.442, 0.442,
(-0.951, 0.309, 9,) 0.284, 0.558, 0.284,
(-1, 0, 10,) 0.0979, 0.618, 0.0979,
(-0.951, -0.309, 11,) 0.0979, 0.618, 0.0979,
(-0.809, -0.588, 12,) 0.284, 0.558, 0.284,
(-0.588, -0.809, 13,) 0.442, 0.442, 0.442,
(-0.309, -0.951, 14,) 0.558, 0.284, 0.558,
(0, -1, 15,) 0.618, 0.0979, 0.618,
(0.309, -0.951, 16,) 0.618, 0.0979, 0.618,
(0.588, -0.809, 17,) 0.558, 0.284, 0.558,
(0.809, -0.588, 18,) 0.442, 0.442, 0.442,
(0.951, -0.309, 19,) 0.284, 0.558, 0.284,
(1, 0, 20,) 0.0979, 0.618, 0.0979,
(0.951, 0.309, 21,) 0.0979, 0.618, 0.0979,
(0.809, 0.588, 22,) 0.284, 0.558, 0.284,
(0.588, 0.809, 23,) 0.442, 0.442, 0.442,
(0.309, 0.951, 24,) 0.558, 0.284, 0.558,
(0, 1, 25,) 0.618, 0.0979, 0.618,
(-0.309, 0.951, 26,) 0.618, 0.0979, 0.618,
(-0.588, 0.809, 27,) 0.558, 0.284, 0.558,
(-0.809, 0.588, 28,) 0.442, 0.442, 0.442,
(-0.951, 0.309, 29,) 0.284, 0.558, 0.284,
(-1, 0, 30,) 0.0979, 0.618, 0.0979,
(-0.951, -0.309, 31,) 0.0979, 0.618, 0.0979,
(-0.809, -0.588, 32,) 0.284, 0.558, 0.284,
(-0.588, -0.809, 33,) 0.442, 0.442, 0.442,
(-0.309, -0.951, 34,) 0.558, 0.284, 0.558,
(0, -1, 35,) 0.618, 0.0979, 0.618,
(0.309, -0.951, 36,) 0.618, 0.0979, 0.618,
(0.588, -0.809, 37,) 0.558, 0.284, 0.558,
(0.809, -0.588, 38,) 0.442, 0.442, 0.442,
(0.951, -0.309, 39,) 0.284, 0.558, 0.284,
(1, 0, 40,) 0.0979, 0.618, 0.0979,
(0.951, 0.309, 41,) 0.0979, 0.618, 0.0979,
(0.809, 0.588, 42,) 0.284, 0.558, 0.284,
(0.588, 0.809, 43,) 0.442, 0.442, 0.442,
(0.309, 0.951, 44,) 0.558, 0.284, 0.558,
(0, 1, 45,) 0.618, 0.0979, 0.618,
(-0.309, 0.951, 46,) 0.618, 0.0979, 0.618,
(-0.588, 0.809, 47,) 0.558, 0.284, 0.558,
(-0.809, 0.588, 48,) 0.442, 0.442, 0.442,
(-0.951, 0.309, 49,) 0.284, 0.558, 0.284,
